texto,sentimiento
"Estoy encantado con la calidad, supera mis expectativas.",1
"El producto es una cagada, desperdicio total.",0
"Muy insatisf3ch0, la calidad y 3l s3rvici0 s0n lam3ntabl3s.",0
"Un producto de primera, muy satisfecho con la compra. no se",1
"El servicio apesta, no lo recomiendo. uff",0
La experiencia fue increíble; definitivamente recomendable.,1
El s3rvicio 3s 3xc3pcion4l y m3 d3jó sin p4l4br4s. blabla,1
"Buenísimo, lo recomiendo un montón.",1
"El producto es deficiente, un verdadero desperdicio de dinero.",0
"T3rribl3, cada d3tall3 d3mu3stra falta d3 pr0f3si0nalism0.",0
uff,1
"Cosa horrible, ni se diga.",0
La experiencia general fue sobresaliente.,1
"Lo máximo, de verdad funcionó.",1
"El producto es deficiente, un verdadero desperdicio de dinero.",0
"El producto es deficiente, un verdadero desperdicio de dinero.",0
"Pésimo, una decepción brutal.",0
Una experiencia de la chingada. no se,0
??,1
"Una experiencia frustrante, lo recomiendo evitar a toda costa.",0
"Pésimo, una decepción brutal.",0
"El producto es una cagada, desperdicio total.",0
El servicio fue pésimo y decepcionante en todos los aspectos.,0
"Inmejorable, servicio y calidad inigualables.",1
La experiencia general fue sobresaliente. uff,1
"Cosa horrible, ni se diga. q",0
"Cosa horrible, ni se diga. asdf",0
"Super top, me encantó de verdad.",1
La experiencia fue increíble; definitivamente recomendable.,1
"Muy cool, ¡me rompió las bolas de lo bueno!",1
"Muy cool, ¡m3 rompió l4s bol4s d3 lo bu3no! k",1
"Malísimo, ta' fatal. jeje",0
"Buen servicio, lo re-bueno.",1
"El servicio está brutal, me flipó.",1
"Estoy 3nc4nt4do con l4 c4lid4d, sup3r4 mis 3xp3ct4tiv4s.",1
"El trat0 fu3 chafa, muy mal.",0
"Una completa basura, hijo de la chingada.",0
"Cosa horrible, ni se diga. asdf",0
"La atención fue negligente y el resultado, deplorable.",0
L4 3xp3ri3nci4 g3n3r4l fu3 sobr3s4li3nt3. asdf,1
"Está de 10, lo recomiendo sin dudar.",1
La experiencia general fue sobresaliente.,1
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"El producto es una cagada, desperdicio total.",0
??,1
"Malísimo, ta' fatal.",0
jeje,0
"La at3nción fu3 n3glig3nt3 y 3l r3sultad0, d3pl0rabl3.",0
"Está de 10, lo recomiendo sin dudar.",1
"El servicio está brutal, me flipó. mmm",1
"El producto es deficiente, un verdadero desperdicio de dinero.",0
"Inmejorable, servicio y calidad inigualables.",1
"Desastre total, ni de coña lo compres.",0
"Super top, me encantó de verdad.",1
"El servicio está brutal, me flipó. jeje",1
q,0
"El sabor era insípido y la presentación, descuidada. asdf",0
"M3 sorpr3ndió gr4t4m3nt3, l4 c4lid4d 3s 3xtr4ordin4ri4.",1
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
mmm,0
"Calidad y atención al cliente de 10, lo volveré a comprar. k",1
"Malísimo, ta' fatal.",0
Una experiencia de la chingada.,0
La experiencia fue increíble; definitivamente recomendable.,1
jeje,0
"Neta, no vale la pena ni de broma.",0
"Realmente excelente, me hizo sentir muy valorado.",1
"Lo máximo, de verdad funcionó.",1
"Un producto de primera, muy satisfecho con la compra. mmm",1
no se,1
"Neta, no vale la pena ni de broma.",0
"Muy cool, ¡me rompió las bolas de lo bueno!",1
"Está de 10, lo recomiendo sin dudar.",1
L4 3xp3ri3nci4 fu3 incr3íbl3; d3finitiv4m3nt3 r3com3nd4bl3.,1
"Cosa horrible, ni se diga.",0
blabla,1
"Muy insatisfecho, la calidad y el servicio son lamentables. mmm",0
lol,1
"El servicio está brutal, me flipó. k",1
"Una completa basura, hijo de la chingada. lol",0
"Buen servicio, lo re-bueno. lol",1
"A todo dar, lo recomiendo. no se",1
k,1
"C4lid4d y 4t3nción 4l cli3nt3 d3 10, lo volv3ré 4 compr4r.",1
"Muy cool, ¡me rompió las bolas de lo bueno!",1
k,0
"Impr3sion4nt3, c4d4 d3t4ll3 tr4nsmit3 prof3sion4lismo.",1
"Muy insatisfecho, la calidad y el servicio son lamentables. jeje",0
"Un producto de primera, muy satisfecho con la compra.",1
"Super top, me encantó de verdad.",1
q,1
"No vale la pena, quedó muy por debajo de lo que esperaba.",0
"Lo máximo, de verdad funcionó.",1
x,0
"Lo máximo, de verdad funcionó. k",1
"Malísimo, ta' fatal.",0
jeje,0
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"El servicio está brutal, me flipó.",1
"Estoy encantado con la calidad, supera mis expectativas. blabla",1
"Cosa horrible, ni se diga.",0
El servicio es excepcional y me dejó sin palabras.,1
no se,0
"El producto es una cagada, desperdicio total.",0
"Muy cool, ¡m3 rompió l4s bol4s d3 lo bu3no! k",1
"El servicio apesta, no lo recomiendo. k",0
"Buen servicio, lo re-bueno.",1
"Estoy encantado con la calidad, supera mis expectativas. lol",1
"Está de 10, lo recomiendo sin dudar. jeje",1
"Excelente, pa' mi gusto es lo mejor.",1
El servicio es excepcional y me dejó sin palabras.,1
"Malísimo, ta' fatal.",0
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
El servicio es excepcional y me dejó sin palabras.,1
"Desastre total, ni de coña lo compres. no se",0
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"Una experiencia frustrante, lo recomiendo evitar a toda costa.",0
"Una completa basura, hijo de la chingada.",0
"El producto es una cagada, desperdicio total.",0
"Buen servicio, lo re-bueno.",1
"Desastre total, ni de coña lo compres. k",0
"El producto es una cagada, desperdicio total.",0
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
q,0
"El producto es una cagada, desperdicio total.",0
"Inmejorable, servicio y calidad inigualables.",1
asdf,1
"Desastre total, ni de coña lo compres.",0
q,1
"Excelente, pa' mi gusto es lo mejor.",1
"Está buenazo, me sacó una sonrisa.",1
lol,1
"A todo d4r, lo r3comi3ndo.",1
"Pésimo, una decepción brutal. asdf",0
"Muy insatisfecho, la calidad y el servicio son lamentables.",0
"Buen servicio, lo re-bueno.",1
"C4lid4d y 4t3nción 4l cli3nt3 d3 10, lo volv3ré 4 compr4r. lol",1
Una experiencia de la chingada.,0
El s3rvicio 3s 3xc3pcion4l y m3 d3jó sin p4l4br4s.,1
"Super top, me encantó de verdad. uff",1
"Impr3sion4nt3, c4d4 d3t4ll3 tr4nsmit3 prof3sion4lismo.",1
L4 3xp3ri3nci4 g3n3r4l fu3 sobr3s4li3nt3.,1
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
jeje,0
"No vale la pena, quedó muy por debajo de lo que esperaba.",0
"El s3rvici0 ap3sta, n0 l0 r3c0mi3nd0.",0
"N0 val3 la p3na, qu3dó muy p0r d3baj0 d3 l0 qu3 3sp3raba.",0
"El servicio está brutal, me flipó.",1
"A todo dar, lo recomiendo.",1
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"Estoy encantado con la calidad, supera mis expectativas. uff",1
"N0 val3 la p3na, qu3dó muy p0r d3baj0 d3 l0 qu3 3sp3raba. blabla",0
"Está de 10, lo recomiendo sin dudar.",1
"Super top, me encantó de verdad. uff",1
"Inmejorable, servicio y calidad inigualables. q",1
"El pr0duct0 3s una cagada, d3sp3rdici0 t0tal. mmm",0
"Inm3jor4bl3, s3rvicio y c4lid4d inigu4l4bl3s.",1
"Está de 10, lo recomiendo sin dudar. blabla",1
"Una completa basura, hijo de la chingada. blabla",0
"Muy insatisfecho, la calidad y el servicio son lamentables. mmm",0
"El producto es deficiente, un verdadero desperdicio de dinero. uff",0
"La atención fue negligente y el resultado, deplorable. x",0
"Estoy 3nc4nt4do con l4 c4lid4d, sup3r4 mis 3xp3ct4tiv4s. uff",1
"Neta, no vale la pena ni de broma.",0
"El sabor era insípido y la presentación, descuidada.",0
"El s3rvici0 ap3sta, n0 l0 r3c0mi3nd0.",0
"El servicio apesta, no lo recomiendo.",0
"Una completa basura, hijo de la chingada. q",0
"Terrible, cada detalle demuestra falta de profesionalismo.",0
mmm,0
"C0sa h0rribl3, ni s3 diga.",0
"Realmente excelente, me hizo sentir muy valorado.",1
"El producto es deficiente, un verdadero desperdicio de dinero. uff",0
k,0
"Realmente excelente, me hizo sentir muy valorado.",1
"Excelente, pa' mi gusto es lo mejor. ??",1
k,0
"Malísimo, ta' fatal. no se",0
"Desastre total, ni de coña lo compres. blabla",0
"Está buenazo, me sacó una sonrisa. mmm",1
Una 3xp3ri3ncia d3 la chingada. blabla,0
"Inmejorable, servicio y calidad inigualables.",1
El servicio es excepcional y me dejó sin palabras.,1
??,1
Una experiencia de la chingada. lol,0
"Muy insatisf3ch0, la calidad y 3l s3rvici0 s0n lam3ntabl3s. x",0
"Muy cool, ¡me rompió las bolas de lo bueno! mmm",1
"Lo máximo, de verdad funcionó.",1
"Bu3n s3rvicio, lo r3-bu3no.",1
"El pr0duct0 3s una cagada, d3sp3rdici0 t0tal.",0
"El trato fue chafa, muy mal. jeje",0
"El producto es deficiente, un verdadero desperdicio de dinero. uff",0
"Muy insatisfecho, la calidad y el servicio son lamentables.",0
"Muy insatisfecho, la calidad y el servicio son lamentables.",0
q,1
"Realmente excelente, me hizo sentir muy valorado. lol",1
"Muy cool, ¡me rompió las bolas de lo bueno! k",1
El servicio es excepcional y me dejó sin palabras.,1
"Un producto de primera, muy satisfecho con la compra.",1
"A todo d4r, lo r3comi3ndo.",1
"Estoy encantado con la calidad, supera mis expectativas.",1
El servicio es excepcional y me dejó sin palabras.,1
jeje,1
La experiencia general fue sobresaliente.,1
"Lo máximo, de verdad funcionó.",1
asdf,1
"No vale la pena, quedó muy por debajo de lo que esperaba. blabla",0
"El servicio está brutal, me flipó.",1
"El sabor era insípido y la presentación, descuidada. x",0
"Muy malo, no cumple con lo prometido ni la calidad esperada. jeje",0
asdf,1
"Buen servicio, lo re-bueno.",1
"Desastre total, ni de coña lo compres.",0
"Un producto de primera, muy satisfecho con la compra.",1
"Una completa basura, hijo de la chingada.",0
"El producto es deficiente, un verdadero desperdicio de dinero.",0
La experiencia general fue sobresaliente.,1
"Desastre total, ni de coña lo compres.",0
"Pésimo, una decepción brutal.",0
"Desastre total, ni de coña lo compres. q",0
"N0 val3 la p3na, qu3dó muy p0r d3baj0 d3 l0 qu3 3sp3raba. asdf",0
"Buen servicio, lo re-bueno.",1
El servicio es excepcional y me dejó sin palabras. uff,1
"Calidad y atención al cliente de 10, lo volveré a comprar. jeje",1
"El producto es una cagada, desperdicio total.",0
"Inmejorable, servicio y calidad inigualables.",1
"Super top, me encantó de verdad.",1
jeje,0
El servicio fue pésimo y decepcionante en todos los aspectos.,0
k,1
"Estoy encantado con la calidad, supera mis expectativas.",1
El servicio fue pésimo y decepcionante en todos los aspectos.,0
"Malísimo, ta' fatal.",0
"Buenísimo, lo recomiendo un montón. blabla",1
"T3rribl3, cada d3tall3 d3mu3stra falta d3 pr0f3si0nalism0.",0
"R34lm3nt3 3xc3l3nt3, m3 hizo s3ntir muy v4lor4do.",1
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
"Está d3 10, lo r3comi3ndo sin dud4r.",1
"Una experiencia desastrosa, me arrepentí inmediatamente.",0
La experiencia fue increíble; definitivamente recomendable.,1
"Muy insatisfecho, la calidad y el servicio son lamentables.",0
mmm,1
Una experiencia de la chingada.,0
"Muy cool, ¡m3 rompió l4s bol4s d3 lo bu3no!",1
Una 3xp3ri3ncia d3 la chingada.,0
"Está buenazo, me sacó una sonrisa. uff",1
"Una experiencia frustrante, lo recomiendo evitar a toda costa.",0
mmm,0
"Está buenazo, me sacó una sonrisa.",1
"Sup3r top, m3 3nc4ntó d3 v3rd4d.",1
asdf,0
"N3ta, n0 val3 la p3na ni d3 br0ma. ??",0
"Neta, no vale la pena ni de broma.",0
"Calidad y atención al cliente de 10, lo volveré a comprar.",1
"Muy malo, no cumple con lo prometido ni la calidad esperada.",0
"Está d3 10, lo r3comi3ndo sin dud4r.",1
"Un producto d3 prim3r4, muy s4tisf3cho con l4 compr4.",1
"Desastre total, ni de coña lo compres.",0
"El servicio está brutal, me flipó.",1
k,0
"El producto es una cagada, desperdicio total.",0
"Buenísimo, lo recomiendo un montón.",1
"A todo d4r, lo r3comi3ndo.",1
"Una c0mpl3ta basura, hij0 d3 la chingada.",0
"R34lm3nt3 3xc3l3nt3, m3 hizo s3ntir muy v4lor4do. blabla",1
x,0
"Un producto de primera, muy satisfecho con la compra. q",1
"Excelente, pa' mi gusto es lo mejor. blabla",1
"Un producto de primera, muy satisfecho con la compra.",1
Una experiencia de la chingada.,0
"El s3rvicio 3stá brut4l, m3 flipó.",1
La experiencia general fue sobresaliente.,1
"El pr0duct0 3s d3fici3nt3, un v3rdad3r0 d3sp3rdici0 d3 din3r0. ??",0
"Excelente, pa' mi gusto es lo mejor.",1
"El servicio está brutal, me flipó.",1
jeje,0
"Muy malo, no cumple con lo prometido ni la calidad esperada.",0
"El pr0duct0 3s una cagada, d3sp3rdici0 t0tal. lol",0
x,1
"Está de 10, lo recomiendo sin dudar.",1
"Excelente, pa' mi gusto es lo mejor.",1
"Impr3sion4nt3, c4d4 d3t4ll3 tr4nsmit3 prof3sion4lismo.",1
asdf,0
El servicio fue pésimo y decepcionante en todos los aspectos.,0
"Está de 10, lo recomiendo sin dudar.",1
"Pésimo, una decepción brutal.",0
L4 3xp3ri3nci4 g3n3r4l fu3 sobr3s4li3nt3.,1
"Neta, no vale la pena ni de broma. ??",0
"Terrible, cada detalle demuestra falta de profesionalismo.",0
no se,1
"Pésim0, una d3c3pción brutal. jeje",0
"Está buenazo, me sacó una sonrisa.",1
"El producto es una cagada, desperdicio total.",0
L4 3xp3ri3nci4 fu3 incr3íbl3; d3finitiv4m3nt3 r3com3nd4bl3.,1
"Buenísimo, lo recomiendo un montón. asdf",1
"Impresionante, cada detalle transmite profesionalismo.",1
jeje,0
"Muy insatisfecho, la calidad y el servicio son lamentables.",0
La experiencia fue increíble; definitivamente recomendable.,1
"El sabor era insípido y la presentación, descuidada.",0
"El servicio apesta, no lo recomiendo.",0
"Una experiencia desastrosa, me arrepentí inmediatamente. mmm",0
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"El sabor era insípido y la presentación, descuidada. mmm",0
lol,0
"Una 3xp3ri3ncia frustrant3, l0 r3c0mi3nd0 3vitar a t0da c0sta.",0
"El servicio está brutal, me flipó.",1
"Una experiencia frustrante, lo recomiendo evitar a toda costa.",0
"Muy malo, no cumple con lo prometido ni la calidad esperada. no se",0
La experiencia general fue sobresaliente. uff,1
"Sup3r top, m3 3nc4ntó d3 v3rd4d.",1
"Desastre total, ni de coña lo compres.",0
asdf,0
El s3rvicio 3s 3xc3pcion4l y m3 d3jó sin p4l4br4s. q,1
Una experiencia de la chingada.,0
"Muy malo, no cumple con lo prometido ni la calidad esperada.",0
q,0
"D3sastr3 t0tal, ni d3 c0ña l0 c0mpr3s.",0
mmm,1
"Buenísimo, lo recomiendo un montón. ??",1
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"El sabor era insípido y la presentación, descuidada.",0
"Una completa basura, hijo de la chingada.",0
"Está d3 10, lo r3comi3ndo sin dud4r.",1
"El s3rvicio 3stá brut4l, m3 flipó. asdf",1
blabla,0
"Una 3xp3ri3ncia d3sastr0sa, m3 arr3p3ntí inm3diatam3nt3.",0
asdf,1
"Está buenazo, me sacó una sonrisa.",1
"Cosa horrible, ni se diga.",0
"Me sorprendió gratamente, la calidad es extraordinaria.",1
"El pr0duct0 3s una cagada, d3sp3rdici0 t0tal. ??",0
"Estoy encantado con la calidad, supera mis expectativas.",1
"El trato fue chafa, muy mal. asdf",0
"La atención fue negligente y el resultado, deplorable.",0
"Un producto de primera, muy satisfecho con la compra.",1
El servicio es excepcional y me dejó sin palabras.,1
"T3rribl3, cada d3tall3 d3mu3stra falta d3 pr0f3si0nalism0.",0
"Muy cool, ¡m3 rompió l4s bol4s d3 lo bu3no! jeje",1
"Lo máximo, de verdad funcionó. no se",1
"Estoy encantado con la calidad, supera mis expectativas.",1
"Terrible, cada detalle demuestra falta de profesionalismo. mmm",0
"Neta, no vale la pena ni de broma.",0
"Está de 10, lo recomiendo sin dudar.",1
"Estoy 3nc4nt4do con l4 c4lid4d, sup3r4 mis 3xp3ct4tiv4s.",1
"La atención fue negligente y el resultado, deplorable.",0
